env_steps,rob,phi_rmse,hdot_rmse,va_rmse
18874368,1,15.4792,0.976984,3.99121
37617664,0.609619,6.90716,1.21641,2.91402
56360960,0.953857,6.67917,0.914656,2.55892
75104256,0.984131,6.49894,0.945562,2.71664
78774272,0.99707,6.59036,0.824327,3.0043
93847552,0.584961,6.64176,0.556428,3.23833
104988672,0.915283,6.56855,0.857817,3.91219
112590848,0.924072,6.48835,0.495363,4.07935
131203072,0.998535,6.38598,0.480448,5.05936
131334144,0.997803,6.38865,0.492274,5.05555
149946368,1,6.31993,0.450105,5.34231
