env_steps,rob,phi_rmse,hdot_rmse,va_rmse
18874368,1,7.3808,0.886756,1.28965
37617664,0.0556641,7.00897,0.559117,3.52185
56360960,0.111816,5.90372,0.453836,3.09894
75104256,0.0361328,5.68487,0.522918,3.21182
78774272,0.136719,5.59114,0.39205,3.14062
93847552,0.179443,4.96112,0.355376,3.26125
104988672,0.879639,4.52023,0.309046,2.44058
112590848,0.792725,4.54304,0.281932,2.58436
131203072,0.591797,4.4368,0.254913,1.51466
131334144,0.612305,4.45195,0.258726,1.52714
149946368,0.845459,4.42785,0.249627,1.50419
