aircraft,span,h_over_b,altitude,surv_ge_on,surv_ge_off,rmse_ge_on,rmse_ge_off,energy_ge_on,energy_ge_off,delta_energy_pct,thrust_ge_on,thrust_ge_off,delta_thrust_pct,theory_pct,hold_valid
Airship_V7,5.0,0.25,1.25,1.0,1.0,0.13141182398651463,0.16701934216964842,0.10324907719343901,0.19016226182132961,-45.704749089254875,52.53942678642273,74.08942893218995,-29.086473544681752,-20.627523107826296,1
Airship_V7,5.0,0.5,2.5,1.0,1.0,0.04283821165875906,0.16767800713589048,0.15113546752929688,0.190235363766551,-20.553432055480446,65.331484375,74.09317892456055,-11.825237730022948,-6.877185343828208,1
Airship_V7,5.0,1.0,5.0,1.0,1.0,0.09553160065446963,0.16898378474847361,0.1778433243408799,0.19037642404437063,-6.5833255175386975,71.41010139465332,74.09943347549438,-3.629355792214594,-2.122193712807896,1
Airship_V7,5.0,2.0,10.0,1.0,1.0,0.15690903107938597,0.17154502580189693,0.18801268291473391,0.190650282792747,-1.3834754606057371,73.54499660491943,74.10995802688599,-0.7623286222367018,-0.45820764137106673,1
Airship_V7,5.0,3.0,15.0,1.0,1.0,0.17089952920128215,0.17410386828545996,0.19040205790102482,0.19091780656576154,-0.27014172958197646,74.01143785476684,74.11884621810913,-0.14491370120119965,-0.08279051678212745,1
Airship_V7,5.0,6.0,30.0,1.0,1.0,0.1817992638212822,0.18185658026278084,0.19175284466147421,0.19175056771934032,0.001187450009132109,74.15285217285157,74.15178118515014,0.0014443182406513467,0.0019139275454715943,1
Airship_A0S,2.76,0.25,0.69,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-15.195602075618098,0
Airship_A0S,2.76,0.5,1.38,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-5.674076737433065,0
Airship_A0S,2.76,1.0,2.76,0.0,1.0,nan,0.896090820691322,nan,0.07453638137690723,nan,nan,15.664376294612882,nan,-1.927256221524043,0
Airship_A0S,2.76,2.0,5.52,1.0,1.0,0.8966169756021536,0.9036676088354164,0.0739213353637606,0.07456378986686468,-0.8616172866899654,15.550814613342284,15.664352734565737,-0.7248184661528586,-0.41735194500062134,1
Airship_A0S,2.76,3.0,8.28,1.0,1.0,0.9051492456611792,0.9113094150944502,0.07446147291362286,0.07459111815504728,-0.17380788038990838,15.641717107772823,15.664309941768648,-0.14423127529915208,-0.07422609057338159,1
Airship_A0S,2.76,6.0,16.56,1.0,1.0,0.9342859629374135,0.9344775964671639,0.07467224007099867,0.07467336390167474,-0.0015049953790149781,15.66400164985657,15.664196084022523,-0.0012412648878403763,0.0018787256434560362,1
Volantex_Ranger,1.62,0.25,0.41,1.0,1.0,0.02799952814308555,0.01359821282100168,0.0825334027633071,0.09971695211529731,-17.232325083624495,0.8201718875169756,0.9328775657117366,-12.081508049641277,-15.426406466568087,1
Volantex_Ranger,1.62,0.5,0.81,1.0,1.0,0.018995836391154857,0.013595232476532423,0.09243833003193139,0.099719687666744,-7.301825552388792,0.8855902763605118,0.9328579561114311,-5.066975035293915,-6.051356248449624,1
Volantex_Ranger,1.62,1.0,1.62,1.0,1.0,0.015165149537792882,0.013589092069865024,0.09715352123230694,0.09972517002373935,-2.578735930778786,0.9161742657124997,0.9328185766935349,-1.7843031214100065,-2.1201538493644256,1
Volantex_Ranger,1.62,2.0,3.24,1.0,1.0,0.01388539426720676,0.013576777046540544,0.09918676695227623,0.09973608840629457,-0.5507750131332334,0.9291866239309312,0.9327396258413793,-0.3809210858006659,-0.46043048490719274,1
Volantex_Ranger,1.62,3.0,4.86,1.0,1.0,0.013626247058194825,0.013563364305629136,0.09964048763364554,0.09974704906344413,-0.10683166148685984,0.9319735590517519,0.9326609005033968,-0.07369682285103334,-0.08637535728581724,1
Volantex_Ranger,1.62,6.0,9.72,1.0,1.0,0.013533439297319783,0.013532491729066221,0.09977948107197879,0.09977898081764579,0.0005013624401654905,0.9324222199022769,0.9324186437726019,0.00038353262227623945,0.0011234462233833398,1
Navion,10.19,0.25,2.55,1.0,1.0,6.892221187491064,6.373098114097623,0.2854685666114092,0.2843649984151125,0.3880815861471549,849.8594471740723,853.5773371276855,-0.4355656824399747,-13.486049162854918,0
Navion,10.19,0.5,5.09,1.0,1.0,6.62946683415735,6.370580235670824,0.2848901960402727,0.28435686571896074,0.18755668865723238,851.3426021118165,853.3574686279297,-0.23611049181450508,-4.962046800864261,0
Navion,10.19,1.0,10.19,1.0,1.0,6.460721102322954,6.365119187428594,0.2845397137254477,0.2843399378806353,0.07025950919925464,852.0079345397951,852.9297920227052,-0.10808128541552774,-1.7413313189081014,0
Navion,10.19,2.0,20.38,1.0,1.0,6.373682959328942,6.354391354042381,0.2843473598957062,0.284306630179286,0.014325981914151483,851.8750883789063,852.0669513549803,-0.02251735920152083,-0.38728915487888926,0
Navion,10.19,3.0,30.57,1.0,1.0,6.347786243466861,6.343551351363785,0.28428176049888126,0.2842723450660705,0.003312117050484096,851.1821827087404,851.2089320983887,-0.0031425174994801743,-0.06613649774344088,0
Navion,10.19,6.0,61.14,1.0,1.0,6.311648656949552,6.311493965869853,0.2841734670698643,0.2841729289889336,0.00018934982041231356,848.6286874389646,848.6268281249997,0.00021909676941544626,0.002377814665832645,0
Cirrus_SR22,11.69,0.25,2.92,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-14.72284153484874,0
Cirrus_SR22,11.69,0.5,5.84,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-5.590070886138521,0
Cirrus_SR22,11.69,1.0,11.69,1.0,1.0,7.599543460384604,7.969782739475648,2.661146379580784e-08,2.6605819843160232e-08,0.02121322583133712,0.11033107942336938,0.11042074028943896,-0.08119929809794794,-1.9340283164525074,0
Cirrus_SR22,11.69,2.0,23.38,1.0,1.0,7.934559628478384,7.974531111490843,2.6605663085329036e-08,2.6604834570483723e-08,0.0031141514641531806,0.11028197468625148,0.11029300985520239,-0.01000532034206224,-0.4210095293491034,0
Cirrus_SR22,11.69,3.0,35.07,1.0,1.0,7.971171514260211,7.97936525332451,2.6603881758987565e-08,2.66034245474497e-08,0.00171861910879401,0.11016451716815935,0.1101661491509003,-0.0014813831231503813,-0.07547619313494902,0
Cirrus_SR22,11.69,6.0,70.14,1.0,1.0,7.99372688021683,7.993838550235248,2.6600138652979252e-08,2.6600131358938882e-08,2.7421068982987858e-05,0.10978694934220402,0.10978703719901385,-8.00247570831133e-05,0.0017725208424135275,0
