aircraft,span,h_over_b,altitude,airspeed,thrust_ge_on,thrust_ge_off,delta_thrust_pct,theory_pct,drag_ge_on,drag_ge_off,drag_frozen_alpha,alpha_ge_on,alpha_ge_off,throttle_ge_on,throttle_ge_off,elevator_ge_on,elevator_ge_off,trim_valid
Airship_V7,5.0,0.25,1.25,28.0,54.39468002319336,72.8872299194336,-25.371453842711684,-20.627523107826296,54.37135696411133,72.83649444580078,57.8121223449707,1.6784452062321011,2.137622030872911,0.317841138787476,0.41072145194783505,-0.8831264631620783,-1.1310057533643922,1
Airship_V7,5.0,0.5,2.5,28.0,66.31719207763672,72.8875961303711,-9.01443373297997,-6.877185343828218,66.27814483642578,72.83683776855469,67.82769775390625,1.9657198050455418,2.1385499470258735,0.37867148375795395,0.4107653446673188,-1.0357699300061471,-1.1315147834074397,1
Airship_V7,5.0,1.0,5.0,28.0,70.9153823852539,72.88837432861328,-2.7068678119561946,-2.122193712807896,70.8679428100586,72.83753204345703,71.29177856445312,2.095842263590987,2.1404200290869078,0.40131210702920384,0.41085347508438064,-1.108110860595106,-1.132540254165312,1
Airship_V7,5.0,2.0,10.0,28.0,72.48564147949219,72.88995361328125,-0.5546884224047481,-0.45820764137106673,72.43521118164062,72.83890533447266,72.50515747070312,2.136939518813291,2.1441519776628795,0.4090802691369255,0.4110295094359535,-1.130653364524293,-1.1345857936656054,1
Airship_V7,5.0,3.0,15.0,28.0,72.81230926513672,72.89149475097656,-0.10863474004802579,-0.08279051678212745,72.76124572753906,72.84029388427734,72.77999877929688,2.1459565470290323,2.147883595560345,0.4108240134987857,0.41120558967135856,-1.1355786671308137,-1.136630092946596,1
Airship_V7,5.0,6.0,30.0,28.0,72.89656829833984,72.8963394165039,0.00031398261938744295,0.0019139275454715943,72.84481811523438,72.8445816040039,72.84597778320312,2.1589795160351843,2.159098559475909,0.4117363655488021,0.41173517620519506,-1.1427008973504844,-1.1427661491475951,1
Airship_A0S,2.76,0.25,0.69,13.0,21.534515380859375,27.801498413085938,-22.541889430235692,-15.195602075618098,21.444271087646484,27.653343200683594,23.45124626159668,5.247179169047503,5.917760378148679,0.32107049235827484,0.3827678629092953,-1.9787773501385855,-1.8386866034838634,1
Airship_A0S,2.76,0.5,1.38,13.0,25.35550880432129,27.803260803222656,-8.803830659379528,-5.674076737433065,25.231433868408203,27.655046463012695,26.085878372192383,5.670493082573087,5.918712586189804,0.35955270169825154,0.3828013248400054,-1.9066871527648535,-1.8384012767601483,1
Airship_A0S,2.76,1.0,2.76,13.0,27.035402297973633,27.8067626953125,-2.774002877612569,-1.927256221524043,26.894264221191406,27.658428192138672,27.12537956237793,5.857043581014304,5.920609210782568,0.37564786337155226,0.38286815704322497,-1.85751305361814,-1.8378329400835602,1
Airship_A0S,2.76,2.0,5.52,13.0,27.65896987915039,27.81373405456543,-0.556430773054133,-0.41735194500062134,27.51175308227539,27.66518211364746,27.54971694946289,5.914181607782614,5.924404550328559,0.38156047391906545,0.3830016741208731,-1.8400220189908503,-1.8366898374657357,1
Airship_A0S,2.76,3.0,8.28,13.0,27.788925170898438,27.820688247680664,-0.11417070814153767,-0.07422609057338159,27.640459060668945,27.671905517578125,27.6513671875,5.925255116481679,5.928184901975068,0.3828393237220804,0.38313477693912446,-1.8364801383653016,-1.8355469652638423,1
Airship_A0S,2.76,6.0,16.56,13.0,27.84123992919922,27.841495513916016,-0.0009179992384716765,0.0018787256434560362,27.691789627075195,27.692028045654297,27.692546844482422,5.939311990780769,5.939517747071946,0.3835317691911009,0.3835341077547859,-1.8321551050301448,-1.8320932000106531,1
Volantex_Ranger,1.62,0.25,0.41,15.0,0.7635740637779236,0.9159297943115234,-16.633996566092822,-15.426406466568087,0.7635619640350342,0.9159005880355835,0.7746099233627319,0.32175041397314336,0.4580976778830774,0.25169857541121265,0.29319018175171757,-1.015461129645143,-1.215570478628986,1
Volantex_Ranger,1.62,0.5,0.81,15.0,0.8554959893226624,0.9159088730812073,-6.595949175086606,-6.051356248449624,0.8554747700691223,0.9158797264099121,0.8604565262794495,0.4034826258444994,0.4582475954861584,0.2770605562577767,0.2931941835988634,-1.1356342395134367,-1.2157236734733385,1
Volantex_Ranger,1.62,1.0,1.62,15.0,0.8950138092041016,0.9158672094345093,-2.2769021552025412,-2.1201538493644256,0.8949870467185974,0.9158377647399902,0.8964206576347351,0.4434577241358309,0.45854774012772664,0.2876774025583006,0.29320187826674216,-1.1921037466012117,-1.21603035052295,1
Volantex_Ranger,1.62,2.0,3.24,15.0,0.9113176465034485,0.9157835841178894,-0.48766299067728375,-0.46043048490719274,0.9112885594367981,0.9157544374465942,0.9115378260612488,0.45656271704399887,0.4591455335592954,0.2920379912948563,0.29321742507911214,-1.2121504109503463,-1.2166406813433144,1
Volantex_Ranger,1.62,3.0,4.86,15.0,0.9148419499397278,0.9157003164291382,-0.09373880013033996,-0.08637535728581724,0.9148128628730774,0.9156709909439087,0.9148799180984497,0.4590550396050477,0.45974387592875804,0.293006481518512,0.2932330252046225,-1.2162006200287074,-1.2172519867604272,1
Volantex_Ranger,1.62,6.0,9.72,15.0,0.9154566526412964,0.9154504537582397,0.0006771402025300302,0.0011234462233833398,0.9154267311096191,0.9154205918312073,0.9154307246208191,0.4614999476074088,0.4615406594638695,0.2932814056789402,0.29327979378828795,-1.2190503121092322,-1.219087333724172,1
Navion,10.19,0.25,2.55,75.0,681.5940551757812,801.4967041015625,-14.959843042671784,-13.486049162854918,680.9478149414062,800.8240356445312,692.8244018554688,-2.495207238224039,-2.3475374616353206,0.4496693248837345,0.5099897378356189,-4.857159345797985,-4.796754949915646,1
Navion,10.19,0.5,5.09,75.0,756.208740234375,801.3651733398438,-5.634938303753658,-4.962046800864261,755.54150390625,800.6929321289062,760.9622192382812,-2.4069147339679793,-2.346868158856408,0.487697477295452,0.5100211769677437,-4.8209644203169715,-4.796482585641927,1
Navion,10.19,1.0,10.19,75.0,785.6009521484375,801.1017456054688,-1.934934425254039,-1.7413313189081014,784.9334716796875,800.4306030273438,786.492431640625,-2.362053347192832,-2.3455264609492983,0.502469370885,0.5100840585922296,-4.802663343645122,-4.795936911776008,1
Navion,10.19,2.0,20.38,75.0,797.2064819335938,800.5755004882812,-0.42082458839081294,-0.38728915487888926,796.53857421875,799.90625,796.8082885742188,-2.345652119974146,-2.3428417208684493,0.5085582713797132,0.5102102127110781,-4.795988170330041,-4.794845332339213,1
Navion,10.19,3.0,30.57,75.0,799.4481201171875,800.050048828125,-0.07523638200124809,-0.06613649774344088,798.7810668945312,799.3829345703125,798.8543090820312,-2.340913666709772,-2.3401542707148,0.5100414324631588,0.5103366467281757,-4.794061157592479,-4.793751973871049,1
Navion,10.19,6.0,61.14,75.0,798.4927368164062,798.4779663085938,0.0018498328614858148,0.002377814665832645,797.831298828125,797.8167724609375,797.835693359375,-2.3321164627875244,-2.3320699061392327,0.5107248625700075,0.51071758787341,-4.790484769589286,-4.790465888958385,1
