aircraft,maneuver,method,n_runs,survival,survival_std,phi_rmse_deg,phi_rmse_std,phi_nrmse_pct,phi_nrmse_pct_std,phi_theil_u,phi_theil_u_std,phi_gain,phi_gain_std,phi_phase_lag_s,phi_phase_lag_s_std,time_in_band_pct,time_in_band_pct_std,hdot_rmse_ms,hdot_rmse_ms_std,hdot_nrmse_pct,hdot_nrmse_pct_std,va_rmse_ms,va_rmse_ms_std,phi_max_deg,turn_radius_m,load_factor
Airship_V7,circle,LQR,1,1.00,,10.60,,39.0,,0.155,,1.414,,0.000,,75.8,,1.167,,,,0.37,,36.0,110,1.236
Airship_V7,circle,MPPI,5,1.00,0.00,3.97,5.24,14.6,19.3,0.056,0.073,1.227,0.206,0.004,0.008,93.1,11.5,0.273,0.489,,,0.19,0.10,36.0,110,1.236
Airship_V7,circle,PPO,3,1.00,0.00,1.83,0.21,6.7,0.8,0.026,0.003,1.230,0.016,0.107,0.017,100.0,0.0,0.436,0.049,,,3.36,1.99,36.0,110,1.236
Airship_V7,circle,SAC,3,1.00,0.00,12.99,1.40,47.8,5.2,0.206,0.019,1.275,0.232,0.343,0.486,49.0,10.6,1.403,0.355,,,1.43,0.51,36.0,110,1.236
Airship_V7,circle,TD3,3,1.00,0.00,23.63,6.37,86.9,23.4,0.487,0.182,0.456,0.487,0.573,0.811,17.9,23.4,1.526,0.082,,,0.35,0.12,36.0,110,1.236
Airship_V7,figure8,LQR,1,1.00,,9.07,,12.7,,0.144,,0.945,,0.890,,77.4,,0.663,,,,0.30,,35.8,111,1.233
Airship_V7,figure8,MPPI,5,1.00,0.00,0.65,0.29,0.9,0.4,0.010,0.005,0.999,0.001,0.064,0.025,99.9,0.3,0.024,0.002,,,0.22,0.08,35.8,111,1.233
Airship_V7,figure8,PPO,3,1.00,0.00,2.18,0.15,3.0,0.2,0.035,0.003,0.973,0.009,0.403,0.009,100.0,0.0,0.388,0.025,,,3.62,2.57,35.8,111,1.233
Airship_V7,figure8,SAC,3,1.00,0.00,20.90,12.80,29.2,17.9,0.361,0.219,0.544,0.308,1.197,0.272,47.0,14.3,1.529,0.185,,,1.07,0.49,35.8,111,1.233
Airship_V7,figure8,TD3,3,1.00,0.00,17.99,5.63,25.1,7.9,0.358,0.152,0.588,0.246,0.723,0.498,33.2,26.6,1.385,0.214,,,1.06,0.61,35.8,111,1.233
Airship_V7,helix,LQR,1,1.00,,2.03,,12.5,,0.047,,1.723,,0.000,,100.0,,0.148,,14.8,,0.42,,21.6,202,1.076
