aircraft,method,disturbance,severity,survival,n_survive,phi_rmse,hdot_rmse,va_rmse
Airship_V7,PPO,nominal,-,1.000,4,1.984,0.319,1.033
Airship_V7,PPO,action_delay,mild,1.000,4,7.177,0.677,0.333
Airship_V7,PPO,action_delay,medium,1.000,4,14.503,0.898,0.139
Airship_V7,PPO,action_delay,severe,1.000,4,21.706,1.782,0.200
Airship_V7,PPO,sensor_delay,mild,1.000,4,6.966,0.684,0.345
Airship_V7,PPO,sensor_delay,medium,1.000,4,11.980,0.900,0.184
Airship_V7,PPO,sensor_delay,severe,1.000,4,20.614,1.434,0.180
Airship_V7,PPO,obs_noise,mild,1.000,4,1.995,0.320,1.025
Airship_V7,PPO,obs_noise,medium,1.000,4,1.994,0.326,1.008
Airship_V7,PPO,obs_noise,severe,1.000,4,2.011,0.357,0.916
Airship_V7,PPO,wind,mild,1.000,4,7.680,0.927,2.195
Airship_V7,PPO,wind,medium,0.750,3,18.708,1.569,2.318
Airship_V7,PPO,wind,severe,1.000,4,21.962,1.899,1.546
Volantex_Ranger,PPO,nominal,-,1.000,4,1.307,0.090,1.250
Volantex_Ranger,PPO,action_delay,mild,1.000,4,1.302,0.093,1.249
Volantex_Ranger,PPO,action_delay,medium,1.000,4,1.346,0.584,1.476
Volantex_Ranger,PPO,action_delay,severe,1.000,4,11.662,1.373,1.823
Volantex_Ranger,PPO,sensor_delay,mild,1.000,4,1.302,0.092,1.248
Volantex_Ranger,PPO,sensor_delay,medium,1.000,4,1.304,0.203,1.270
Volantex_Ranger,PPO,sensor_delay,severe,1.000,4,9.689,1.129,1.711
Volantex_Ranger,PPO,obs_noise,mild,1.000,4,1.300,0.094,1.251
Volantex_Ranger,PPO,obs_noise,medium,1.000,4,1.328,0.115,1.258
Volantex_Ranger,PPO,obs_noise,severe,1.000,4,1.367,0.164,1.254
Volantex_Ranger,PPO,wind,mild,1.000,4,1.907,0.445,1.781
Volantex_Ranger,PPO,wind,medium,1.000,4,5.480,0.976,3.029
Volantex_Ranger,PPO,wind,severe,0.000,0,,,
