backend,n_envs,steps_per_s_mean,steps_per_s_std,ci95
cpu,1,570.2376282166006,12.621145481830904,9.028623581911273
warp,64,91558.26197422818,212.2762889536404,151.85330928056302
warp,256,365482.4940213366,637.1888203593628,455.81742306263396
warp,1024,1449237.2419094322,1650.5377879586893,1180.7236052109668
warp,4096,5544604.936614466,7882.117040020022,5638.5268583866955
warp,16384,19153105.355086345,25833.126495594697,18479.905441894032
torch,64,10951.880724845265,14.044934798431795,10.04714110221414
torch,256,42070.2025424756,58.153520190989234,41.60052227615652
torch,1024,162233.4360316822,197.6138290978063,141.36441736391532
torch,4096,646188.0105564811,642.4481443497094,459.57971679995853
torch,16384,2567757.019935493,1678.836848524812,1200.967533619925
