name,value
CL_Alpha,5.5417254
CL_Beta,-0.026322
CL_elevator,1.0722748
CL_aileron,-0.0022158
CL_rudder,-0.0006988
CL_p,0.002071
CL_q,11.0800916
CL_r,0.0057045
CD_Alpha,0.421919
CD_Beta,0.0022709
CD_elevator,0.0657782
CD_aileron,0.0034544
CD_rudder,0.0005969
CD_p,-0.0468777
CD_q,0.242385
CD_r,-0.0111223
CS_Alpha,-7e-07
CS_Beta,-0.7692774
CS_elevator,0.0
CS_aileron,-0.1202936
CS_rudder,-0.177781
CS_p,-0.0561703
CS_q,-2e-07
CS_r,0.3863796
CMl_Alpha,3e-07
CMl_Beta,-0.2061537
CMl_elevator,-0.0
CMl_aileron,-0.3316101
CMl_rudder,-0.0256646
CMl_p,-0.4575133
CMl_q,1e-07
CMl_r,0.185398
CMm_Alpha,-0.5032946
CMm_Beta,0.1234604
CMm_elevator,-3.0950682
CMm_aileron,-0.0007495
CMm_rudder,0.003716
CMm_p,0.0134235
CMm_q,-30.230001
CMm_r,0.1027004
CMn_Alpha,-1e-07
CMn_Beta,0.0334826
CMn_elevator,0.0
CMn_aileron,-0.0005353
CMn_rudder,0.0660141
CMn_p,-0.0482624
CMn_q,0.0
CMn_r,-0.1223031
CL_Total,0.7477821
CD_Total,0.0524856
CS_Total,0.0
CMl_Total,-0.0
CMm_Total,-1.8e-06
CMn_Total,0.0
SM,0.0908191
X_np,0.0330582
StabilityType,1
FC_AoA_,2.475455
FC_Beta_,0.0
FC_Bref_,2.56
FC_Cref_,0.364
FC_Mach_,0.0
FC_Pitch_Rate,0.0
FC_Rho_,1.225
FC_Roll__Rate,0.0
FC_Sref_,0.852
FC_Vinf_,17.0
FC_Xcg_,0.0
FC_Yaw___Rate,0.0
FC_Ycg_,0.0
FC_Zcg_,0.0
deflect_aileron_deg,0.0
deflect_elevator_deg,-0.894811
deflect_rudder_deg,0.0
