h_m,name,value
5.12,CD_Alpha,0.4198310309431408
5.12,CD_Beta,0.001280257978514312
5.12,CD_aileron,0.003466401192260456
5.12,CD_elevator,0.0655243104814309
5.12,CD_p,-0.0468777
5.12,CD_q,0.242385
5.12,CD_r,-0.0111223
5.12,CD_rudder,0.000631621625971299
5.12,CL_Alpha,5.534349954521578
5.12,CL_Beta,-0.03535194034564017
5.12,CL_aileron,-0.002204336972872962
5.12,CL_elevator,1.073048684687994
5.12,CL_p,0.002071
5.12,CL_q,11.0800916
5.12,CL_r,0.0057045
5.12,CL_rudder,-0.0007266727458772485
5.12,CMl_Alpha,2.6447731823238805e-07
5.12,CMl_Beta,-0.20133033219862725
5.12,CMl_aileron,-0.33198314887458413
5.12,CMl_elevator,-6.302535746439093e-10
5.12,CMl_p,-0.4575133
5.12,CMl_q,1e-07
5.12,CMl_r,0.185398
5.12,CMl_rudder,-0.02342613948243895
5.12,CMm_Alpha,-0.518674794721736
5.12,CMm_Beta,0.09417589724814515
5.12,CMm_aileron,-0.0007413052858201937
5.12,CMm_elevator,-3.0948662822374726
5.12,CMm_p,0.0134235
5.12,CMm_q,-30.230001
5.12,CMm_r,0.1027004
5.12,CMm_rudder,0.00389985115543237
5.12,CMn_Alpha,-7.207809062745756e-08
5.12,CMn_Beta,0.03975469855943572
5.12,CMn_aileron,0.01386222288565562
5.12,CMn_elevator,4.5836623610465697e-10
5.12,CMn_p,-0.0482624
5.12,CMn_q,0.0
5.12,CMn_r,-0.1223031
5.12,CMn_rudder,0.06887460996980445
5.12,CS_Alpha,-7.228435543370465e-07
5.12,CS_Beta,-0.7613230174660002
5.12,CS_aileron,-0.12046347820032015
5.12,CS_elevator,5.156620156177569e-10
5.12,CS_p,-0.0561703
5.12,CS_q,-2e-07
5.12,CS_r,0.3863796
5.12,CS_rudder,-0.1827724566212888
5.12,CL_Total,0.749099861703
5.12,CL_h,-0.00023867306787186122
5.12,CD_Total,0.052402873577
5.12,CD_h,2.6595802756249405e-05
