alpha,beta,delta_e,delta_a,delta_r,CD,CY,CL,CMx,CMy,CMz
0,0,0,0,0,0.126857659783681,0.0,0.9301937180918196,-0.0,2.811426278811333e-05,-0.0
1,0,0,0,0,0.0160812809931725,0.0,0.02702065638181359,-0.0,-0.012190007108745153,-0.0
0,0,1,0,0,0.002090203219241,0.0,0.0609508437636487,-0.0,-0.0227497192085001,-0.0
2,0,0,0,0,0.0016315474630368,0.0,0.0020736860926357605,-0.0,-0.00105248398024546,-0.0
1,0,1,0,0,0.0007389681119648,0.0,-0.0019886876367664,-0.0,0.00065740359292986,-0.0
0,0,2,0,0,0.0001357837829892,0.0,-0.0016650948106141,-0.0,0.0007596256111476267,-0.0
3,0,0,0,0,9.93112500891763e-07,0.0,0.0,-0.0,0.00028209283149054,-0.0
2,0,1,0,0,6.796064274073796e-07,0.0,0.0004676783950212,-0.0,-0.00018113147959162,-0.0
1,0,2,0,0,-8.935327324783443e-06,0.0,0.0001572523494736,-0.0,-0.00011508850071136666,-0.0
0,0,3,0,0,2.197203522456489e-06,0.0,-6.101340127073751e-06,-0.0,-1.1427716528493334e-05,-0.0
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0
0,1,0,0,0,0.0,0.0,0.0,-0.0014840850585366798,0.0,-0.0
0,0,0,1,0,0.0,0.0,0.0,-0.002471227655156907,0.0,-0.0
0,2,0,0,0,0.0,0.0,0.0,-5.693879795536817e-08,0.0,-0.0
0,1,0,1,0,0.0,0.0,0.0,-7.265492344169998e-09,0.0,-0.0
0,0,0,2,0,0.0,0.0,0.0,1.81700735519807e-08,0.0,-0.0
0,3,0,0,0,0.0,0.0,0.0,1.945190326175956e-06,0.0,-0.0
0,2,0,1,0,0.0,0.0,0.0,1.0729925972640988e-06,0.0,-0.0
0,1,0,2,0,0.0,0.0,0.0,1.1309489082213242e-07,0.0,-0.0
0,0,0,3,0,0.0,0.0,0.0,5.060132538725383e-07,0.0,-0.0
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0
0,1,0,0,0,0.0,-0.009856503531578124,0.0,-0.0,0.0,0.0006860053247132401
0,0,0,0,1,0.0,-0.0113153193317518,0.0,-0.0,0.0,0.0005433740167632466
0,2,0,0,0,0.0,0.0,0.0,-0.0,0.0,3.777697560857367e-07
0,1,0,0,1,0.0,-2.583193207950085e-12,0.0,-0.0,0.0,8.319120475158183e-09
0,0,0,0,2,0.0,1.867556481014495e-06,0.0,-0.0,0.0,-9.250478911555955e-08
0,3,0,0,0,0.0,6.311032793377663e-05,0.0,-0.0,0.0,-4.502693288511242e-06
0,2,0,0,1,0.0,6.148714454087129e-06,0.0,-0.0,0.0,-7.756065670954752e-07
0,1,0,0,2,0.0,2.9904286441839734e-06,0.0,-0.0,0.0,-9.692235810610424e-08
0,0,0,0,3,0.0,2.24236543554246e-06,0.0,-0.0,0.0,-1.3501796884447574e-07
