name,value
CL_Alpha,5.6564152
CL_Beta,-0.0382595
CL_elevator,1.0886717
CL_aileron,-0.0018501
CL_rudder,-0.0007722
CL_p,0.0002937
CL_q,11.0929815
CL_r,0.0049899
CD_Alpha,0.3374343
CD_Beta,0.0022614
CD_elevator,0.0473481
CD_aileron,0.0035937
CD_rudder,0.0006505
CD_p,-0.0527785
CD_q,0.0300088
CD_r,-0.0130071
CS_Alpha,5e-07
CS_Beta,-0.784792
CS_elevator,0.0
CS_aileron,-0.1273198
CS_rudder,-0.1898382
CS_p,-0.1070734
CS_q,-0.0
CS_r,0.4057101
CMl_Alpha,-2e-07
CMl_Beta,-0.2018062
CMl_elevator,-0.0
CMl_aileron,-0.3409294
CMl_rudder,-0.0282348
CMl_p,-0.4747532
CMl_q,0.0
CMl_r,0.1762391
CMm_Alpha,-0.6206545
CMm_Beta,0.095676
CMm_elevator,-3.1246821
CMm_aileron,-0.0006146
CMm_rudder,0.0040422
CMm_p,0.0513749
CMm_q,-30.2940217
CMm_r,0.0764451
CMn_Alpha,0.0
CMn_Beta,0.0475295
CMn_elevator,0.0
CMn_aileron,0.0026292
CMn_rudder,0.0732498
CMn_p,-0.0206437
CMn_q,0.0
CMn_r,-0.1352588
CL_Total,0.5946437
CD_Total,0.0369117
CS_Total,0.0
CMl_Total,-0.0
CMm_Total,1.64e-05
CMn_Total,-0.0
SM,0.1097258
X_np,0.0798804
StabilityType,1
FC_AoA_,0.752247
FC_Beta_,0.0
FC_Bref_,5.0674
FC_Cref_,0.728
FC_Mach_,0.0
FC_Pitch_Rate,0.0
FC_Rho_,1.225
FC_Roll__Rate,0.0
FC_Sref_,3.3621
FC_Vinf_,31.0
FC_Xcg_,0.0
FC_Yaw___Rate,0.0
FC_Ycg_,0.0
FC_Zcg_,0.0
deflect_aileron_deg,0.0
deflect_elevator_deg,-0.569337
deflect_rudder_deg,0.0
