alpha,beta,delta_e,delta_a,delta_r,CD,CY,CL,CMx,CMy,CMz,_lateral_sign_fixed
0,0,0,0,0,0.0343951469634202,0.0,0.5346827163636029,-0.0,0.000246571091399,-0.0,1
1,0,0,0,0,0.0048434700985187,0.0,0.1050139180617516,-0.0,-0.0319040206660643,-0.0,1
0,0,1,0,0,0.0006350953562495,0.0,0.018361731027752,-0.0,-0.0596711928711178,-0.0,1
2,0,0,0,0,0.000492645452559,0.0,0.0002886375474595,-0.0,-0.0027632598956935,-0.0,1
1,0,1,0,0,0.0002233510326856,0.0,-0.0005990383669561,-0.0,0.0017247630083172,-0.0,1
0,0,2,0,0,4.065500057169316e-05,0.0,-0.00050153526277,-0.0,0.0019777894201025,-0.0,1
3,0,0,0,0,7.164695019733215e-08,0.0,-0.0001501110622901,-0.0,0.0007376423934045,-0.0,1
2,0,1,0,0,1.0011899621506505e-07,0.0,0.0001408700092451,-0.0,-0.0004782869263977,-0.0,1
1,0,2,0,0,-2.7955518609179557e-06,0.0,4.736515655390933e-05,-0.0,-0.0002978220105415,-0.0,1
0,0,3,0,0,6.258132605537099e-07,0.0,-1.8383088117301936e-06,-0.0,-3.018653381046607e-05,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,0.0,0.0,-0.0037130942010921,0.0,-0.0,1
0,0,0,1,0,0.0,0.0,0.0,-0.0061653355169604,0.0,-0.0,1
0,2,0,0,0,0.0,0.0,0.0,2.861156900594783e-11,0.0,-0.0,1
0,1,0,1,0,0.0,0.0,0.0,-3.335079825153575e-12,0.0,-0.0,1
0,0,0,2,0,0.0,0.0,0.0,5.17030916778044e-13,0.0,-0.0,1
0,3,0,0,0,0.0,0.0,0.0,5.621125963257111e-06,0.0,-0.0,1
0,2,0,1,0,0.0,0.0,0.0,2.976550056974815e-06,0.0,-0.0,1
0,1,0,2,0,0.0,0.0,0.0,3.1337598871330336e-08,0.0,-0.0,1
0,0,0,3,0,0.0,0.0,0.0,1.2035294834145463e-06,0.0,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,-0.0156278386037626,0.0,-0.0,0.0,0.0017113307310638,1
0,0,0,0,1,0.0,-0.0034090423042031,0.0,-0.0,0.0,0.0013552982501232,1
0,2,0,0,0,0.0,-4.980010826459436e-11,0.0,-0.0,0.0,-9.616572132793016e-13,1
0,1,0,0,1,0.0,-7.772595501248647e-13,0.0,-0.0,0.0,5.137548914936618e-13,1
0,0,0,0,2,0.0,2.834557675385208e-13,0.0,-0.0,0.0,-9.14126901344764e-14,1
0,3,0,0,0,0.0,2.699063347149505e-05,0.0,-0.0,0.0,-1.1439874111198811e-05,1
0,2,0,0,1,0.0,1.8532016243591465e-06,0.0,-0.0,0.0,-1.9460210225449902e-06,1
0,1,0,0,2,0.0,6.451637121450415e-07,0.0,-0.0,0.0,-2.1904167429799733e-07,1
0,0,0,0,3,0.0,6.755783422945222e-07,0.0,-0.0,0.0,-3.301474565981389e-07,1
