alpha,beta,delta_e,delta_a,delta_r,CD,CY,CL,CMx,CMy,CMz,_lateral_sign_fixed
0,0,0,0,0,0.0102031883558903,0.0,0.1036057697148278,-0.0,-0.0289535782292621,-0.0,1
1,0,0,0,0,0.0006461575141428,0.0,0.0918951518432027,-0.0,0.0045146998294129,-0.0,1
0,0,1,0,0,-8.28268133752523e-05,0.0,-0.0103945184548864,-0.0,0.0381217052885116,-0.0,1
2,0,0,0,0,0.0003981632813801,0.0,-2.4053015361262845e-05,-0.0,0.0003902243779565,-0.0,1
1,0,1,0,0,-0.0001108522361303,0.0,-9.710116170515368e-06,-0.0,2.469951583759972e-05,-0.0,1
0,0,2,0,0,2.897076857456501e-05,0.0,-1.1802808458730843e-06,-0.0,2.735955250519189e-06,-0.0,1
3,0,0,0,0,-8.175774565968505e-07,0.0,-4.487627216070181e-06,-0.0,-1.1483328402695562e-05,-0.0,1
2,0,1,0,0,3.1841942558049295e-07,0.0,2.8295757842598416e-06,-0.0,-1.1252557063259328e-05,-0.0,1
1,0,2,0,0,5.906668388567647e-08,0.0,-1.4756145322083782e-06,-0.0,4.88874697501632e-06,-0.0,1
0,0,3,0,0,-9.068655822293576e-09,0.0,2.1813393355551063e-06,-0.0,-7.428614454623463e-06,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,0.0,0.0,-0.0012833447265749,0.0,-0.0,1
0,0,0,1,0,0.0,0.0,0.0,-0.0035161132602662,0.0,-0.0,1
0,2,0,0,0,0.0,0.0,0.0,-2.4132877609150304e-08,0.0,-0.0,1
0,1,0,1,0,0.0,0.0,0.0,4.0472432371319075e-10,0.0,-0.0,1
0,0,0,2,0,0.0,0.0,0.0,-1.4667664287007126e-10,0.0,-0.0,1
0,3,0,0,0,0.0,0.0,0.0,1.435720850877021e-06,0.0,-0.0,1
0,2,0,1,0,0.0,0.0,0.0,6.402530505523891e-07,0.0,-0.0,1
0,1,0,2,0,0.0,0.0,0.0,6.345948438602062e-08,0.0,-0.0,1
0,0,0,3,0,0.0,0.0,0.0,8.046037743565403e-07,0.0,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,-0.0066130472773942,0.0,-0.0,0.0,0.0005707377494424,1
0,0,0,0,1,0.0,-0.0034823405972193,0.0,-0.0,0.0,0.0012923566969943,1
0,2,0,0,0,0.0,-6.828499917176146e-10,0.0,-0.0,0.0,4.6192571931501496e-08,1
0,1,0,0,1,0.0,-6.363259484644735e-10,0.0,-0.0,0.0,5.118644859021386e-11,1
0,0,0,0,2,0.0,2.4516458878454263e-11,0.0,-0.0,0.0,1.1822004275550478e-10,1
0,3,0,0,0,0.0,-1.7300588507374906e-06,0.0,-0.0,0.0,3.564557418588642e-06,1
0,2,0,0,1,0.0,-4.110471885188895e-06,0.0,-0.0,0.0,1.611913727327689e-06,1
0,1,0,0,2,0.0,4.318619542109939e-07,0.0,-0.0,0.0,-2.961477023917537e-08,1
0,0,0,0,3,0.0,6.487259036552168e-07,0.0,-0.0,0.0,-2.5133621342813264e-07,1
