name,value
CL_Alpha,4.8927027
CL_Beta,-0.0153178
CL_elevator,0.5183027
CL_aileron,-0.0008928
CL_rudder,0.0041874
CL_p,-0.0023109
CL_q,10.0357196
CL_r,0.0075351
CD_Alpha,0.1370919
CD_Beta,0.0134543
CD_elevator,-0.0025071
CD_aileron,0.0015392
CD_rudder,0.0049522
CD_p,-0.0384196
CD_q,-0.0171423
CD_r,-0.0089227
CS_Alpha,-0.0038379
CS_Beta,-0.2832966
CS_elevator,-0.001384
CS_aileron,-0.0609736
CS_rudder,-0.2150934
CS_p,-0.1631697
CS_q,0.015762
CS_r,0.351443
CMl_Alpha,0.0001722
CMl_Beta,-0.0741278
CMl_elevator,1.31e-05
CMl_aileron,-0.1878424
CMl_rudder,-0.0117805
CMl_p,-0.4271474
CMl_q,0.003828
CMl_r,0.1157693
CMm_Alpha,-0.9059749
CMm_Beta,-0.0110679
CMm_elevator,-1.379003
CMm_aileron,0.0020405
CMm_rudder,-0.0078215
CMm_p,-0.0049379
CMm_q,-14.1037147
CMm_r,-0.0100901
CMn_Alpha,0.0021407
CMn_Beta,0.0231374
CMn_elevator,0.0006484
CMn_aileron,0.0177899
CMn_rudder,0.1131937
CMn_p,0.0206688
CMn_q,-0.007339
CMn_r,-0.1492802
CL_Total,0.2716289
CD_Total,0.0133714
CS_Total,-0.0112078
CMl_Total,-0.0006254
CMm_Total,-9.6e-06
CMn_Total,0.005565
SM,0.1851686
X_np,2.7567045
StabilityType,1
FC_AoA_,-3.0173531
FC_Beta_,0.0
FC_Bref_,10.16
FC_Cref_,1.73736
FC_Mach_,0.0
FC_Pitch_Rate,0.0
FC_Rho_,1.05554
FC_Roll__Rate,0.0
FC_Sref_,17.09416
FC_Vinf_,73.152
FC_Xcg_,2.435
FC_Yaw___Rate,0.0
FC_Ycg_,0.0
FC_Zcg_,0.0
deflect_aileron_deg,0.0
deflect_elevator_deg,7.75387
deflect_rudder_deg,0.0
