h_m,name,value
20.32,CD_Alpha,0.13642675806179272
20.32,CD_Beta,0.013490791020144081
20.32,CD_aileron,0.001543349254544337
20.32,CD_elevator,-0.0025687240931057662
20.32,CD_p,-0.0384196
20.32,CD_q,-0.0171423
20.32,CD_r,-0.0089227
20.32,CD_rudder,0.00494720792087427
20.32,CL_Alpha,4.911193844029979
20.32,CL_Beta,-0.016187421409292087
20.32,CL_aileron,-0.0008934543429078534
20.32,CL_elevator,0.5191611149384138
20.32,CL_p,-0.0023109
20.32,CL_q,10.0357196
20.32,CL_r,0.0075351
20.32,CL_rudder,0.004251421209793061
20.32,CMl_Alpha,0.005628508024359819
20.32,CMl_Beta,-0.07522184725316604
20.32,CMl_aileron,-0.18871165553642485
20.32,CMl_elevator,-2.0986641894726457e-05
20.32,CMl_p,-0.4271474
20.32,CMl_q,0.003828
20.32,CMl_r,0.1157693
20.32,CMl_rudder,-0.01771960285697456
20.32,CMm_Alpha,-0.9372635423549955
20.32,CMm_Beta,-0.008333987173697618
20.32,CMm_aileron,0.0019837101200497424
20.32,CMm_elevator,-1.3793870205573233
20.32,CMm_p,-0.0049379
20.32,CMm_q,-14.1037147
20.32,CMm_r,-0.0100901
20.32,CMm_rudder,-0.00784316276390724
20.32,CMn_Alpha,0.003008704571930839
20.32,CMn_Beta,0.01969142696756433
20.32,CMn_aileron,0.007902176041706972
20.32,CMn_elevator,0.0006466576427974095
20.32,CMn_p,0.0206688
20.32,CMn_q,-0.007339
20.32,CMn_r,-0.1492802
20.32,CMn_rudder,0.1123133369683744
20.32,CS_Alpha,-0.0038340821322702394
20.32,CS_Beta,-0.2843328726845933
20.32,CS_aileron,-0.06113156963253988
20.32,CS_elevator,-0.0013814039942578662
20.32,CS_p,-0.1631697
20.32,CS_q,0.015762
20.32,CS_r,0.351443
20.32,CS_rudder,-0.21492181648326536
20.32,CL_Total,0.272121226944
20.32,CL_h,-0.00013893715971000876
20.32,CD_Total,0.013350892515
20.32,CD_h,5.2954305300001175e-06
20.32,CS_Total,-0.011209770933
20.32,CS_h,3.1437289800023696e-07
20.32,CMl_Total,-0.000918211163
20.32,CMl_h,1.918288260000017e-07
20.32,CMm_Total,-0.000190881221
20.32,CMm_h,5.717441635200001e-05
20.32,CMn_Total,0.005524605198
20.32,CMn_h,-2.9027249999849863e-08
20.32,SM,0.1908423027314078
20.32,h_over_c,11.695906432748538
15.24,CD_Alpha,0.13595528083246197
15.24,CD_Beta,0.013499126066373008
15.24,CD_aileron,0.0015440433929132219
15.24,CD_elevator,-0.0025999452509117824
15.24,CD_p,-0.0384196
15.24,CD_q,-0.0171423
15.24,CD_r,-0.0089227
15.24,CD_rudder,0.004954209178651899
15.24,CL_Alpha,4.917940160856187
15.24,CL_Beta,-0.016103705113454745
15.24,CL_aileron,-0.0008901129103445752
15.24,CL_elevator,0.5197533724158
15.24,CL_p,-0.0023109
15.24,CL_q,10.0357196
15.24,CL_r,0.0075351
15.24,CL_rudder,0.004313356343162995
15.24,CMl_Alpha,0.0056347917097947986
15.24,CMl_Beta,-0.07524577826787415
15.24,CMl_aileron,-0.188754608062382
15.24,CMl_elevator,-2.062504823021685e-05
15.24,CMl_p,-0.4271474
15.24,CMl_q,0.003828
15.24,CMl_r,0.1157693
15.24,CMl_rudder,-0.017729371042536413
15.24,CMm_Alpha,-0.9408052657822152
15.24,CMm_Beta,-0.008365523515586754
15.24,CMm_aileron,0.001933625931120857
15.24,CMm_elevator,-1.3797669136343702
15.24,CMm_p,-0.0049379
15.24,CMm_q,-14.1037147
15.24,CMm_r,-0.0100901
15.24,CMm_rudder,-0.007877074245040309
15.24,CMn_Alpha,0.0029853940705148775
15.24,CMn_Beta,0.019678660608452123
15.24,CMn_aileron,0.007909969241749047
15.24,CMn_elevator,0.00064516422830438
15.24,CMn_p,0.0206688
15.24,CMn_q,-0.007339
15.24,CMn_r,-0.1492802
15.24,CMn_rudder,0.11231335089124884
15.24,CS_Alpha,-0.003785937004407392
15.24,CS_Beta,-0.2843483685573456
15.24,CS_aileron,-0.061200530775465986
15.24,CS_elevator,-0.0013784140712996761
15.24,CS_p,-0.1631697
15.24,CS_q,0.015762
15.24,CS_r,0.351443
15.24,CS_rudder,-0.2149348649667958
15.24,CL_Total,0.272527475949
15.24,CL_h,-0.0002688063580260071
15.24,CD_Total,0.0133354088
15.24,CD_h,9.779778477000023e-06
15.24,CS_Total,-0.011210690152
15.24,CS_h,5.952946049999838e-07
15.24,CMl_Total,-0.000918772066
15.24,CMl_h,3.9750728399998593e-07
15.24,CMm_Total,-0.000358057877
15.24,CMm_h,0.00011966344704000001
15.24,CMn_Total,0.005524690073
15.24,CMn_h,-4.023681299992511e-08
15.24,SM,0.19130067365814107
15.24,h_over_c,8.771929824561404
10.16,CD_Alpha,0.13472768197250373
10.16,CD_Beta,0.013513419071530381
10.16,CD_aileron,0.0015452405309303058
10.16,CD_elevator,-0.0026782253231926547
10.16,CD_p,-0.0384196
10.16,CD_q,-0.0171423
10.16,CD_r,-0.0089227
10.16,CD_rudder,0.0049603668133719695
10.16,CL_Alpha,4.937256301957628
10.16,CL_Beta,-0.015839454514621466
10.16,CL_aileron,-0.0008900213516883349
10.16,CL_elevator,0.5211924969231833
10.16,CL_p,-0.0023109
10.16,CL_q,10.0357196
10.16,CL_r,0.0075351
10.16,CL_rudder,0.004507039683777626
10.16,CMl_Alpha,0.005645461730926179
10.16,CMl_Beta,-0.07532602066330756
10.16,CMl_aileron,-0.1889118047057583
10.16,CMl_elevator,-1.9910340676575177e-05
10.16,CMl_p,-0.4271474
10.16,CMl_q,0.003828
10.16,CMl_r,0.1157693
10.16,CMl_rudder,-0.017760449304668337
10.16,CMm_Alpha,-0.9521886316871284
10.16,CMm_Beta,-0.008451590886444347
10.16,CMm_aileron,0.001787765773383224
10.16,CMm_elevator,-1.3809697674784807
10.16,CMm_p,-0.0049379
10.16,CMm_q,-14.1037147
10.16,CMm_r,-0.0100901
10.16,CMm_rudder,-0.007980832432667697
10.16,CMn_Alpha,0.002918292748591694
10.16,CMn_Beta,0.019632524385210584
10.16,CMn_aileron,0.007927506047463536
10.16,CMn_elevator,0.0006409081832105995
10.16,CMn_p,0.0206688
10.16,CMn_q,-0.007339
10.16,CMn_r,-0.1492802
10.16,CMn_rudder,0.11230605845631975
10.16,CS_Alpha,-0.0036542125749123655
10.16,CS_Beta,-0.2843704849574209
10.16,CS_aileron,-0.06140897179001061
10.16,CS_elevator,-0.00137015677544366
10.16,CS_p,-0.1631697
10.16,CS_q,0.015762
10.16,CS_r,0.351443
10.16,CS_rudder,-0.2149637822040119
10.16,CL_Total,0.27369319395
10.16,CL_h,-0.00047075439584999464
10.16,CD_Total,0.013293700828
10.16,CD_h,1.6607239274999962e-05
10.16,CS_Total,-0.011213252188
10.16,CS_h,1.0480641299999253e-06
10.16,CMl_Total,-0.000920535767
10.16,CMl_h,7.152881549999848e-07
10.16,CMm_Total,-0.000890667461
10.16,CMm_h,0.000219982060515
10.16,CMn_Total,0.005524840501
10.16,CMn_h,-7.817977499994382e-08
10.16,SM,0.19285784926935723
10.16,h_over_c,5.847953216374269
9.144,CD_Alpha,0.13425098022751827
9.144,CD_Beta,0.013519293951578516
9.144,CD_aileron,0.001545363373081588
9.144,CD_elevator,-0.002707703314202773
9.144,CD_p,-0.0384196
9.144,CD_q,-0.0171423
9.144,CD_r,-0.0089227
9.144,CD_rudder,0.004962913037813495
9.144,CL_Alpha,4.945308047886912
9.144,CL_Beta,-0.015716265437398253
9.144,CL_aileron,-0.0008927018774343155
9.144,CL_elevator,0.5217181885650066
9.144,CL_p,-0.0023109
9.144,CL_q,10.0357196
9.144,CL_r,0.0075351
9.144,CL_rudder,0.0045929326462838364
9.144,CMl_Alpha,0.0056499311455028775
9.144,CMl_Beta,-0.07536596092095256
9.144,CMl_aileron,-0.1889906724608496
9.144,CMl_elevator,-1.962758600467736e-05
9.144,CMl_p,-0.4271474
9.144,CMl_q,0.003828
9.144,CMl_r,0.1157693
9.144,CMl_rudder,-0.017773367726779368
9.144,CMm_Alpha,-0.9573187511701824
9.144,CMm_Beta,-0.008486969941673857
9.144,CMm_aileron,0.0017258452504351816
9.144,CMm_elevator,-1.3815116669504108
9.144,CMm_p,-0.0049379
9.144,CMm_q,-14.1037147
9.144,CMm_r,-0.0100901
9.144,CMm_rudder,-0.008023187019869815
9.144,CMn_Alpha,0.002891397937800913
9.144,CMn_Beta,0.01961151184562354
9.144,CMn_aileron,0.007933930164854075
9.144,CMn_elevator,0.0006392633359723505
9.144,CMn_p,0.0206688
9.144,CMn_q,-0.007339
9.144,CMn_r,-0.1492802
9.144,CMn_rudder,0.11230273879615056
9.144,CS_Alpha,-0.0036014252284018214
9.144,CS_Beta,-0.28437629257222385
9.144,CS_aileron,-0.06150231566757057
9.144,CS_elevator,-0.0013669615617075245
9.144,CS_p,-0.1631697
9.144,CS_q,0.015762
9.144,CS_r,0.351443
9.144,CS_rudder,-0.21497405699885622
