alpha,beta,delta_e,delta_a,delta_r,CD,CY,CL,CMx,CMy,CMz,_lateral_sign_fixed
0,0,0,0,0,0.0196690428601488,0.0,0.349754537579125,-0.0,0.1276043631427266,-0.0,1
1,0,0,0,0,0.0029069887377094,0.0,0.0830354100022285,-0.0,-0.0105484945813387,-0.0,1
0,0,1,0,0,0.0002104486986978,0.0,-0.0126516345558047,-0.0,0.0319565113729974,-0.0,1
2,0,0,0,0,0.0004450254477419,0.0,-8.13019063398202e-05,-0.0,0.0004215183454833,-0.0,1
1,0,1,0,0,-0.0001599467097518,0.0,-1.811204590026421e-05,-0.0,4.800710346473736e-05,-0.0,1
0,0,2,0,0,4.751907197384137e-05,0.0,6.548016883159285e-06,-0.0,-1.2254342053934896e-05,-0.0,1
3,0,0,0,0,-3.641993687637519e-07,0.0,-3.514308899838344e-06,-0.0,-1.559029851124716e-06,-0.0,1
2,0,1,0,0,-4.454632853184975e-07,0.0,1.5047566754284518e-06,-0.0,-3.72312835450122e-06,-0.0,1
1,0,2,0,0,2.956109152470608e-07,0.0,-1.950814869324373e-06,-0.0,3.820391968440517e-06,-0.0,1
0,0,3,0,0,-1.3500110338911657e-07,0.0,2.4733662375476345e-06,-0.0,-6.4818828923498965e-06,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,0.0,0.0,-0.0010233235448982,0.0,-0.0,1
0,0,0,1,0,0.0,0.0,0.0,0.004010676826232,0.0,-0.0,1
0,2,0,0,0,0.0,0.0,0.0,3.574100499034072e-07,0.0,-0.0,1
0,1,0,1,0,0.0,0.0,0.0,1.434689954831527e-07,0.0,-0.0,1
0,0,0,2,0,0.0,0.0,0.0,-6.148170207311273e-08,0.0,-0.0,1
0,3,0,0,0,0.0,0.0,0.0,5.300939107144592e-07,0.0,-0.0,1
0,2,0,1,0,0.0,0.0,0.0,-1.111937948418023e-06,0.0,-0.0,1
0,1,0,2,0,0.0,0.0,0.0,8.082114432946254e-08,0.0,-0.0,1
0,0,0,3,0,0.0,0.0,0.0,-7.873756411914901e-07,0.0,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,-0.005024740932121,0.0,-0.0,0.0,0.0006090870209078,1
0,0,0,0,1,0.0,-0.0033763260463041,0.0,-0.0,0.0,0.0017675336758042,1
0,2,0,0,0,0.0,3.9163295099501925e-06,0.0,-0.0,0.0,4.868745050820375e-07,1
0,1,0,0,1,0.0,4.577187862259482e-07,0.0,-0.0,0.0,1.6548301701854843e-06,1
0,0,0,0,2,0.0,-2.676245051935544e-07,0.0,-0.0,0.0,4.047289080501063e-07,1
0,3,0,0,0,0.0,9.43055687529704e-07,0.0,-0.0,0.0,1.4723399416797111e-06,1
0,2,0,0,1,0.0,9.81650858696925e-07,0.0,-0.0,0.0,-2.8177914771985085e-07,1
0,1,0,0,2,0.0,6.775660099878566e-07,0.0,-0.0,0.0,-2.061987403753504e-07,1
0,0,0,0,3,0.0,6.783593846239051e-07,0.0,-0.0,0.0,-3.606131544688338e-07,1
