name,value
CL_Alpha,5.5966608
CL_Beta,-0.0630038
CL_elevator,0.4037672
CL_aileron,-0.0001332
CL_rudder,-0.000601
CL_p,0.0293994
CL_q,11.545891
CL_r,0.0097462
CD_Alpha,0.3222304
CD_Beta,-0.0008078
CD_elevator,0.0127941
CD_aileron,0.0032633
CD_rudder,0.0007483
CD_p,-0.0569849
CD_q,0.2428005
CD_r,-0.0064775
CS_Alpha,0.016891
CS_Beta,-0.2706484
CS_elevator,-0.001044
CS_aileron,-0.0055261
CS_rudder,-0.1515161
CS_p,0.041014
CS_q,0.0125701
CS_r,0.2313566
CMl_Alpha,-0.0005855
CMl_Beta,-0.054114
CMl_elevator,-0.0001688
CMl_aileron,-0.3515699
CMl_rudder,-0.0005621
CMl_p,-0.5632723
CMl_q,-0.0007626
CMl_r,0.1237332
CMm_Alpha,-1.564185
CMm_Beta,0.1403355
CMm_elevator,-1.5370747
CMm_aileron,-0.0061932
CMm_rudder,0.0018753
CMm_p,-0.0966293
CMm_q,-24.652592
CMm_r,-0.0188033
CMn_Alpha,-0.0046871
CMn_Beta,0.0834299
CMn_elevator,0.0005416
CMn_aileron,-0.0029064
CMn_rudder,0.0650262
CMn_p,-0.1014165
CMn_q,-0.0058715
CMn_r,-0.0948097
CL_Total,0.6712056
CD_Total,0.0390162
CS_Total,0.0002335
CMl_Total,2.05e-05
CMm_Total,5e-07
CMn_Total,-0.0001096
SM,0.2794854
X_np,0.1137861
StabilityType,1
FC_AoA_,3.9123681
FC_Beta_,0.0
FC_Bref_,1.62
FC_Cref_,0.156667
FC_Mach_,0.0
FC_Pitch_Rate,0.0
FC_Rho_,1.225
FC_Roll__Rate,0.0
FC_Sref_,0.2733
FC_Vinf_,10.875
FC_Xcg_,0.07
FC_Yaw___Rate,0.0
FC_Ycg_,0.0
FC_Zcg_,0.0
deflect_aileron_deg,0.0
deflect_elevator_deg,-4.44254
deflect_rudder_deg,0.0
