h_m,name,value
3.24,CD_Alpha,0.32043348007887335
3.24,CD_Beta,-0.0007829122203954549
3.24,CD_aileron,0.0032649035667560297
3.24,CD_elevator,0.012692517686669616
3.24,CD_p,-0.0569849
3.24,CD_q,0.2428005
3.24,CD_r,-0.0064775
3.24,CD_rudder,0.0007745257798522863
3.24,CL_Alpha,5.601841888015158
3.24,CL_Beta,-0.06368855387771942
3.24,CL_aileron,-0.00014566638341205376
3.24,CL_elevator,0.40417995486749864
3.24,CL_p,0.0293994
3.24,CL_q,11.545891
3.24,CL_r,0.0097462
3.24,CL_rudder,-0.0006214809605528685
3.24,CMl_Alpha,-0.0011222224103342787
3.24,CMl_Beta,-0.048071907523539625
3.24,CMl_aileron,-0.35068416248717554
3.24,CMl_elevator,-0.0001266889899125568
3.24,CMl_p,-0.5632723
3.24,CMl_q,-0.0007626
3.24,CMl_r,0.1237332
3.24,CMl_rudder,0.00396041840936409
3.24,CMm_Alpha,-1.5678528316494922
3.24,CMm_Beta,0.14111763761397164
3.24,CMm_aileron,-0.00614021038595119
3.24,CMm_elevator,-1.5371160587805905
3.24,CMm_p,-0.0966293
3.24,CMm_q,-24.652592
3.24,CMm_r,-0.0188033
3.24,CMm_rudder,0.0019372450763295774
3.24,CMn_Alpha,-0.004555410843492716
3.24,CMn_Beta,0.08683593237598036
3.24,CMn_aileron,0.021015071315678126
3.24,CMn_elevator,0.00047188718063305326
3.24,CMn_p,-0.1014165
3.24,CMn_q,-0.0058715
3.24,CMn_r,-0.0948097
3.24,CMn_rudder,0.06596568823243104
3.24,CS_Alpha,0.016680732226732078
3.24,CS_Beta,-0.2703770614402864
3.24,CS_aileron,-0.005441285355842334
3.24,CS_elevator,-0.0008807769068463392
3.24,CS_p,0.041014
3.24,CS_q,0.0125701
3.24,CS_r,0.2313566
3.24,CS_rudder,-0.15394853543706777
3.24,CL_Total,0.672160009191
3.24,CL_h,-0.0001427773279413824
3.24,CD_Total,0.038898086424
3.24,CD_h,1.679801600375825e-05
3.24,CS_Total,0.000232860093
3.24,CS_h,-8.893656782715916e-08
3.24,CMl_Total,1.3338082e-05
3.24,CMl_h,-9.907543713580463e-09
3.24,CMm_Total,-0.000442740151
3.24,CMm_h,7.931108022398642e-05
3.24,CMn_Total,-0.000110502697
3.24,CMn_h,3.773005558518603e-08
3.24,SM,0.27988166445822577
3.24,h_over_c,20.680807062112635
2.43,CD_Alpha,0.3190320503502391
2.43,CD_Beta,-0.0007688534403845915
2.43,CD_aileron,0.0032657605397301867
2.43,CD_elevator,0.012631617200484429
2.43,CD_p,-0.0569849
2.43,CD_q,0.2428005
2.43,CD_r,-0.0064775
2.43,CD_rudder,0.0007742055537406497
2.43,CL_Alpha,5.606295298219062
2.43,CL_Beta,-0.0637302576994556
2.43,CL_aileron,-0.0001490326250460972
2.43,CL_elevator,0.4044239833793245
2.43,CL_p,0.0293994
2.43,CL_q,11.545891
2.43,CL_r,0.0097462
2.43,CL_rudder,-0.0006227916587976852
2.43,CMl_Alpha,-0.0011201226346066833
2.43,CMl_Beta,-0.04805155039037441
2.43,CMl_aileron,-0.35065811175780853
2.43,CMl_elevator,-0.0001243225596271075
2.43,CMl_p,-0.5632723
2.43,CMl_q,-0.0007626
2.43,CMl_r,0.1237332
2.43,CMl_rudder,0.003962019138852127
2.43,CMm_Alpha,-1.5711929364998172
2.43,CMm_Beta,0.1412950685483619
2.43,CMm_aileron,-0.006136413910304867
2.43,CMm_elevator,-1.537139329919806
2.43,CMm_p,-0.0966293
2.43,CMm_q,-24.652592
2.43,CMm_r,-0.0188033
2.43,CMm_rudder,0.0019389532926999819
2.43,CMn_Alpha,-0.004531240504313563
2.43,CMn_Beta,0.08681314601635536
2.43,CMn_aileron,0.020964636934944856
2.43,CMn_elevator,0.0004277694304079802
2.43,CMn_p,-0.1014165
2.43,CMn_q,-0.0058715
2.43,CMn_r,-0.0948097
2.43,CMn_rudder,0.06595634701501812
2.43,CS_Alpha,0.016621367783099673
2.43,CS_Beta,-0.2703614287452126
2.43,CS_aileron,-0.005410426994912177
2.43,CS_elevator,-0.0007918747127057779
2.43,CS_p,0.041014
2.43,CS_q,0.0125701
2.43,CS_r,0.2313566
2.43,CS_rudder,-0.15392728723993954
2.43,CL_Total,0.672898196784
2.43,CL_h,-0.0002640975511060118
2.43,CD_Total,0.038811237292
2.43,CD_h,2.1035071247145063e-05
2.43,CS_Total,0.000233319913
2.43,CS_h,-1.472528606283943e-07
2.43,CMl_Total,1.3389306e-05
2.43,CMl_h,-3.890757249382807e-09
2.43,CMm_Total,-0.000852794438
2.43,CMm_h,0.00016538893563134444
2.43,CMn_Total,-0.000110697769
2.43,CMn_h,6.623107095802506e-08
2.43,SM,0.28025511553038135
2.43,h_over_c,15.510605296584476
1.62,CD_Alpha,0.3165346103428484
1.62,CD_Beta,-0.0007423112851170189
1.62,CD_aileron,0.0032720670861813867
1.62,CD_elevator,0.012495475266388804
1.62,CD_p,-0.0569849
1.62,CD_q,0.2428005
1.62,CD_r,-0.0064775
1.62,CD_rudder,0.0007744687705517247
1.62,CL_Alpha,5.617262060666963
1.62,CL_Beta,-0.06382223627588929
1.62,CL_aileron,-0.00015308011350402892
1.62,CL_elevator,0.404967112475975
1.62,CL_p,0.0293994
1.62,CL_q,11.545891
1.62,CL_r,0.0097462
1.62,CL_rudder,-0.0006270509697483753
1.62,CMl_Alpha,-0.001132838229658242
1.62,CMl_Beta,-0.04798890020567427
1.62,CMl_aileron,-0.3504747567835913
1.62,CMl_elevator,-0.00011827762570535925
1.62,CMl_p,-0.5632723
1.62,CMl_q,-0.0007626
1.62,CMl_r,0.1237332
1.62,CMl_rudder,0.00398999844415753
1.62,CMm_Alpha,-1.5817798195643658
1.62,CMm_Beta,0.14187332631768923
1.62,CMm_aileron,-0.006141707123599418
1.62,CMm_elevator,-1.5372260164861529
1.62,CMm_p,-0.0966293
1.62,CMm_q,-24.652592
1.62,CMm_r,-0.0188033
1.62,CMm_rudder,0.0019455462607527736
1.62,CMn_Alpha,-0.004492435104173385
1.62,CMn_Beta,0.08678250194164058
1.62,CMn_aileron,0.020939384908744276
1.62,CMn_elevator,0.00032036104325937033
1.62,CMn_p,-0.1014165
1.62,CMn_q,-0.0058715
1.62,CMn_r,-0.0948097
1.62,CMn_rudder,0.06594415991623678
1.62,CS_Alpha,0.0165344515752686
1.62,CS_Beta,-0.2702922689578188
1.62,CS_aileron,-0.00544317084535455
1.62,CS_elevator,-0.0005753707495892365
1.62,CS_p,0.041014
1.62,CS_q,0.0125701
1.62,CS_r,0.2313566
1.62,CS_rudder,-0.15389497379539288
1.62,CL_Total,0.674890884441
1.62,CL_h,-0.00045244797467996535
1.62,CD_Total,0.038680575299
1.62,CD_h,3.2314616703602996e-05
1.62,CS_Total,0.000234382747
1.62,CS_h,-2.319780518683143e-07
1.62,CMl_Total,1.3378314e-05
1.62,CMl_h,-2.625945230452666e-09
1.62,CMm_Total,-0.002152928485
1.62,CMm_h,0.0003066783253486224
1.62,CMn_Total,-0.000111187553
1.62,CMn_h,1.0618331577057488e-07
1.62,SM,0.28159266961038915
