alpha,beta,delta_e,delta_a,delta_r,CD,CY,CL,CMx,CMy,CMz,_lateral_sign_fixed
0,0,0,0,0,0.0232620747506651,0.0,0.3172473474040512,-0.0,-0.0125170373000971,-0.0,1
1,0,0,0,0,0.0024040253991747,0.0,0.0986211288845505,-0.0,-0.0261048122816328,-0.0,1
0,0,1,0,0,6.816817671315698e-05,0.0,0.0071227194808462,-0.0,-0.0271395725394907,-0.0,1
2,0,0,0,0,0.0004058793087469,0.0,-1.6178156622382368e-05,-0.0,-0.000263629271978,-0.0,1
1,0,1,0,0,8.261925370213164e-05,0.0,-1.582048858797912e-06,-0.0,1.3004843562635153e-05,-0.0,1
0,0,2,0,0,2.055950540585313e-05,0.0,6.65978996199928e-07,-0.0,-9.226127822491487e-06,-0.0,1
3,0,0,0,0,-1.2924496281971335e-06,0.0,-7.802804736237004e-06,-0.0,3.4048267339504543e-06,-0.0,1
2,0,1,0,0,-3.178981744431064e-07,0.0,-8.008936790848215e-07,-0.0,4.322227436125119e-06,-0.0,1
1,0,2,0,0,-1.545538180502729e-07,0.0,-1.3131331604941874e-06,-0.0,3.387194195202748e-06,-0.0,1
0,0,3,0,0,-9.357880143623825e-08,0.0,-1.5835738625450744e-06,-0.0,6.075811260137122e-06,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,0.0,0.0,-0.0006723776108344,0.0,-0.0,1
0,0,0,1,0,0.0,0.0,0.0,-0.0062114653116554,0.0,-0.0,1
0,2,0,0,0,0.0,0.0,0.0,-1.297229752588489e-07,0.0,-0.0,1
0,1,0,1,0,0.0,0.0,0.0,-9.392259072500457e-08,0.0,-0.0,1
0,0,0,2,0,0.0,0.0,0.0,-9.145596257578836e-09,0.0,-0.0,1
0,3,0,0,0,0.0,0.0,0.0,-1.2770107195056174e-07,0.0,-0.0,1
0,2,0,1,0,0.0,0.0,0.0,2.378567656023086e-06,0.0,-0.0,1
0,1,0,2,0,0.0,0.0,0.0,-4.863532734070395e-10,0.0,-0.0,1
0,0,0,3,0,0.0,0.0,0.0,1.231858825662494e-06,0.0,-0.0,1
0,0,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,1
0,1,0,0,0,0.0,-0.004336967346989,0.0,-0.0,0.0,0.0012129639369313,1
0,0,0,0,1,0.0,-0.0025775592425799,0.0,-0.0,0.0,0.0011069862489355,1
0,2,0,0,0,0.0,1.7021699323171446e-06,0.0,-0.0,0.0,-6.012532176962292e-07,1
0,1,0,0,1,0.0,2.498529375112128e-07,0.0,-0.0,0.0,-1.2650451540273213e-07,1
0,0,0,0,2,0.0,-3.471748859063791e-08,0.0,-0.0,0.0,1.3619323944427131e-08,1
0,3,0,0,0,0.0,8.979754197323295e-06,0.0,-0.0,0.0,-3.5427226862837517e-06,1
0,2,0,0,1,0.0,1.857853256846913e-06,0.0,-0.0,0.0,-7.489361197391005e-07,1
0,1,0,0,2,0.0,5.379273599142761e-07,0.0,-0.0,0.0,-9.621466217063376e-08,1
0,0,0,0,3,0.0,5.145393893182896e-07,0.0,-0.0,0.0,-2.424616121719821e-07,1
